year,neighbourhood,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house,average_house_value,shelter_costs_owned,shelter_costs_rented
2001,Old East York,2570,565,0,175,0,120,345,35,269410,796,965
2001,Palmerston-Little Italy,765,240,0,1695,310,165,2865,80,378033,981,1098
2001,Parkwoods-Donalda,2605,6510,0,1675,1385,40,970,0,276239,925,1003
2001,Pelmo Park-Humberlea,1960,370,0,285,30,10,45,5,246333,846,849
2001,Playter Estates-Danforth,940,955,0,845,65,240,540,40,394235,893,1419
2001,Pleasant View,1055,1465,0,2520,280,20,155,0,226856,893,914
2001,Princess-Rosethorn,3320,460,0,0,45,30,0,0,465254,992,1211
2001,Regent Park,40,2165,0,80,665,20,965,5,238524,524,1280
2001,Rexdale-Kipling,2140,805,0,60,495,30,355,0,219337,712,911
2001,Rockcliffe-Smythe,3320,3225,0,1235,250,160,555,0,210017,673,927
2001,Roncesvalles,1385,1620,0,1605,430,155,1415,110,309221,780,1200
2001,Rosedale-Moore Park,2610,3880,0,520,225,290,1735,0,664476,1219,1540
2001,Rouge,5210,915,0,540,1030,200,595,0,228625,899,1123
2001,Runnymede-Bloor West Village,2165,5,0,760,45,295,600,10,335435,899,1188
2001,Rustic,1225,1930,0,160,5,30,150,10,261923,615,844
2001,Scarborough Village,1115,4120,0,35,110,110,205,0,200402,692,1000
2001,South Parkdale,755,6535,0,540,145,70,2385,25,271880,718,1362
2001,South Riverdale,1370,450,5,3650,1685,320,2380,160,276462,713,1188
2001,St.Andrew-Windfields,3275,1455,0,220,555,45,525,5,607040,1055,1551
2001,Steeles,3715,2555,0,205,565,55,185,0,228460,959,877
2001,Stonegate-Queensway,6035,570,0,90,210,130,2925,10,334433,827,1038
2001,Tam O'Shanter-Sullivan,3335,4420,0,180,870,135,395,0,215039,801,868
2001,Taylor-Massey,675,4930,0,250,290,95,110,5,145464,732,908
2001,The Beaches,2760,220,0,1810,210,490,3395,65,404836,958,1408
2001,Thistletown-Beaumond Heights,1975,675,0,380,50,30,110,5,228368,737,969
2001,Thorncliffe Park,15,6275,0,0,75,0,0,20,155094,876,1042
2001,Trinity-Bellwoods,665,75,0,1890,1245,170,2145,90,324732,938,1093
2001,University,240,820,0,560,380,130,775,85,375678,1035,1140
2001,Victoria Village,1295,3025,0,340,230,15,2000,5,213950,720,943
2001,Waterfront Communities-The Island,285,9205,5,160,430,20,375,40,228975,1177,1306
2001,West Hill,3395,3540,0,570,1130,295,405,0,172947,570,892
2001,West Humber-Clairville,5640,1305,0,375,1255,40,285,0,208555,785,978
2001,Westminster-Branson,840,7650,0,720,405,10,115,45,212241,909,1048
2001,Weston,1980,4425,0,225,95,60,500,5,187140,726,967
2001,Weston-Pellam Park,1000,545,5,1575,265,105,350,30,213749,597,961
2001,Wexford/Maryvale,6000,1860,0,15,205,850,1000,10,211633,751,868
2001,Willowdale East,3825,5010,0,60,725,30,840,0,284984,1207,1135
2001,Willowdale West,2485,2110,5,145,25,15,190,0,283215,928,1092
2001,Willowridge-Martingrove-Richview,3770,3115,0,535,230,5,65,0,282087,933,910
2001,Woburn,7480,8035,5,460,265,610,150,0,181367,698,900
2001,Woodbine Corridor,990,595,0,1965,235,110,1295,50,270607,649,1181
2001,Woodbine-Lumsden,2105,690,0,330,25,145,255,15,224756,683,1042
2001,Wychwood,1390,1295,0,1250,335,295,1295,30,343877,772,1149
2001,Yonge-Eglinton,1650,1525,0,480,25,350,1175,10,491987,1035,1479
2001,Yonge-St.Clair,670,3625,0,410,200,280,1020,25,494098,1091,1351
2001,York University Heights,1385,5100,0,1080,560,25,1010,40,185859,757,890
2001,Yorkdale-Glen Park,2540,1515,0,60,265,120,590,10,261784,761,895
2006,Agincourt North,3295,2060,0,775,1425,600,565,0,293140,1055,886
2006,Agincourt South-Malvern West,2695,1840,5,305,420,610,860,5,297031,1082,881
2006,Alderwood,2750,315,5,480,85,370,540,5,380342,1120,893
2006,Annex,630,7135,0,1120,620,240,4955,15,663921,1671,1122
2006,Banbury-Don Mills,3620,5020,5,285,660,30,1330,0,543987,1410,1101
2006,Bathurst Manor,1960,1710,0,165,50,895,1030,10,445807,1276,921
2006,Bay Street Corridor,0,8435,0,5,15,5,305,0,376548,1385,1331
2006,Bayview Village,2070,2625,5,140,825,90,390,0,479299,1412,1308
2006,Bayview Woods-Steeles,1550,1605,0,410,195,120,725,0,502546,1235,1324
2006,Bedford Park-Nortown,4785,1890,0,45,60,290,1285,110,826963,1808,1020
2006,Beechborough-Greenbrook,650,645,0,75,15,95,1035,5,329685,1017,680
2006,Bendale,3835,3270,5,285,190,1025,460,0,267642,1104,887
2006,Birchcliffe-Cliffside,4860,905,0,400,40,850,1965,20,388690,1225,770
2006,Black Creek,695,4375,0,740,1090,140,60,0,231839,973,768
2006,Blake-Jones,445,490,0,615,320,135,1115,10,454571,1394,706
2006,Briar Hill-Belgravia,1595,2360,0,135,5,440,1145,5,324882,1282,886
2006,Bridle Path-Sunnybrook-York Mills,2205,145,0,35,15,30,10,0,1356757,2170,2167
2006,Broadview North,845,3075,0,430,85,125,785,0,394075,1309,853
2006,Brookhaven-Amesbury,1775,3430,0,265,0,125,490,5,311922,1124,810
2006,Cabbagetown-South St.James Town,150,3150,0,425,610,40,1685,0,439171,1486,886
2006,Caledonia-Fairbank,1705,160,0,385,20,360,905,10,321496,1215,854
2006,Casa Loma,875,2230,0,230,195,170,1240,5,871981,1819,1356
2006,Centennial Scarborough,3175,0,5,170,370,170,40,5,364291,1277,1024
2006,Church-Yonge Corridor,15,13900,0,25,220,10,1445,5,360962,1517,1029
2006,Clairlea-Birchmount,3040,1605,5,700,135,600,1040,5,315133,1229,808
2006,Clanton Park,2480,1015,10,10,15,530,1280,25,490234,1396,851
2006,Cliffcrest,3275,1255,0,60,285,400,155,45,371009,1226,761
2006,Corso Italia-Davenport,1280,0,0,1225,110,455,2095,30,373239,1188,858
2006,Danforth,665,340,0,1220,25,190,1470,0,415024,1363,751
2006,Danforth-East York,2845,715,0,1665,30,595,995,10,374793,1249,838
2006,Don Valley Village,2120,5075,5,345,1405,150,310,5,353756,1181,1011
2006,Dorset Park,2045,3690,0,330,1370,450,430,5,232869,1118,836
2006,Dovercourt-Wallace Emerson-Juncti,1590,1680,5,2145,745,845,6290,25,386366,1200,874
2006,Downsview-Roding-CFB,4170,3065,0,930,500,360,3045,10,339006,1057,821
2006,Dufferin Grove,300,1130,0,510,90,205,2745,0,406710,1270,926
2006,East End-Danforth,1735,2045,5,1880,350,480,2240,20,424900,1543,754
2006,Edenbridge-Humber Valley,2540,1920,0,95,95,55,1040,5,707638,1502,1023
2006,Eglinton East,1545,5100,0,85,405,545,195,5,239060,1073,793
2006,Elms-Old Rexdale,970,1355,0,75,450,225,50,0,238505,1166,877
2006,Englemount-Lawrence,1900,2775,0,30,275,545,2560,5,505677,1346,820
2006,Eringate-Centennial-West Deane,3880,1740,0,305,540,125,70,15,353553,1132,1005
2006,Etobicoke West Mall,960,2570,0,90,220,50,50,15,275009,1092,978
2006,Flemingdon Park,5,6150,0,190,570,5,600,0,184694,1171,846
2006,Forest Hill North,1450,3410,0,10,10,115,375,0,756983,1731,1027
2006,Forest Hill South,1740,1835,0,50,50,70,1015,0,1063011,1781,1094
2006,Glenfield-Jane Heights,410,3240,0,3555,1290,495,770,10,291172,1059,742
2006,Greenwood-Coxwell,925,505,0,1415,295,345,2540,5,344019,1261,752
2006,Guildwood,2185,1065,0,100,285,135,125,0,328303,1145,981
2006,Henry Farm,495,2950,0,0,535,15,0,0,328823,1316,1049
2006,High Park North,1375,5795,0,580,110,455,1985,5,473289,1421,1029
2006,High Park-Swansea,2620,1930,5,495,165,605,3190,25,518157,1471,956
2006,Highland Creek,3035,5,0,0,5,510,20,0,381156,1229,825
2006,Hillcrest Village,1650,1935,0,825,1075,200,780,0,351101,1134,615
2006,Humber Heights-Westmount,1670,1980,0,60,60,180,180,5,399210,1157,945
2006,Humber Summit,540,715,0,2205,100,150,140,0,312935,1086,823
2006,Humbermede,580,1525,0,1235,105,85,1080,0,284227,1115,877
2006,Humewood-Cedarvale,1805,1630,0,250,5,155,2475,0,619577,1598,884
2006,Ionview,1005,2710,0,370,150,375,250,100,255698,1091,783
2006,Islington-City Centre West,5110,6580,0,125,400,275,720,10,401463,1298,973
2006,Junction Area,750,85,0,965,540,600,2310,5,385094,1360,930
2006,Keelesdale-Eglinton West,1690,500,0,365,15,470,1065,0,286886,1118,722
2006,Kennedy Park,1745,2790,0,345,125,610,720,65,255296,1082,673
2006,Kensington-Chinatown,85,3815,5,185,675,65,2815,15,391509,1376,911
2006,Kingsview Village-The Westway,2130,4690,0,120,320,160,185,0,300725,1068,955
2006,Kingsway South,2275,560,0,60,50,25,335,0,749476,1625,1488
2006,L'Amoreaux,1250,685,0,545,175,100,385,0,578001,1488,739
2006,Lambton Baby Point,3675,6775,0,915,2450,375,870,20,299190,1099,834
2006,Lansing-Westgate,2435,2735,0,50,0,220,520,15,545034,1527,1209
2006,Lawrence Park North,3110,215,0,865,20,185,1050,0,674957,1748,1171
2006,Lawrence Park South,3415,745,0,110,25,250,1025,10,972384,1977,1116
2006,Leaside-Bennington,3555,595,0,790,60,40,1445,0,716801,1657,1051
2006,Little Portugal,260,320,0,480,600,180,2980,10,480129,1266,905
2006,Long Branch,1455,865,0,80,80,215,1665,10,342930,1308,837
2006,Malvern,3450,2750,0,1285,3465,990,795,0,228318,1197,869
2006,Maple Leaf,1630,910,5,175,95,200,600,5,402835,1041,849
2006,Markland Wood,1775,1990,0,5,250,55,130,0,394610,1187,1009
2006,Milliken,3780,1855,0,550,615,425,130,0,306629,1056,848
2006,Mimico,2355,5870,0,235,675,475,2910,5,349739,1419,916
2006,Morningside,2215,2000,0,25,860,285,210,0,253323,1188,778
2006,Moss Park,75,5110,0,95,625,50,2190,10,363929,1527,721
2006,Mount Dennis,965,2160,0,120,300,150,905,5,233143,1232,813
2006,Mount Olive-Silverstone-Jamestown,1630,5660,0,150,1060,685,95,0,225031,1127,836
2006,Mount Pleasant East,2155,1880,5,1570,150,150,1085,185,602054,1673,995
2006,Mount Pleasant West,475,11845,10,200,170,95,1895,5,416125,1546,1042
2006,New Toronto,1540,1010,5,190,240,210,1625,0,362468,1240,705
2006,Newtonbrook East,2855,2235,0,10,40,310,265,0,497355,1386,1092
2006,Newtonbrook West,2590,3125,0,640,515,380,325,0,409358,1205,1030
2006,Niagara,40,4850,0,105,1025,35,1940,5,328854,1584,1176
2006,North Riverdale,785,625,0,1205,135,215,1970,5,624890,1479,959
2006,North St.James Town,5,7700,5,0,60,5,585,0,365706,1579,798
2006,O'Connor-Parkview,1055,3170,0,135,205,315,275,10,265146,1032,662
2006,Oakridge,2840,1765,0,1205,35,685,2110,30,375307,1209,796
2006,Oakwood Village,2955,2125,0,130,125,300,1505,0,392146,1261,785
2006,Old East York,2195,505,0,160,0,470,435,5,394111,1170,870
2006,Palmerston-Little Italy,315,240,5,855,255,145,4240,0,553011,1332,1072
2006,Parkwoods-Donalda,2545,6145,5,1355,1290,80,1280,0,404100,1216,1011
2006,Pelmo Park-Humberlea,1665,395,0,245,85,440,110,0,360352,1029,925
2006,Playter Estates-Danforth,660,915,0,600,60,160,1185,0,576713,1720,975
2006,Pleasant View,995,1450,0,1750,270,80,900,0,331860,1108,975
2006,Princess-Rosethorn,3275,435,0,5,40,50,10,0,680604,1468,1083
2006,Regent Park,5,1880,0,45,655,0,1040,5,348928,1552,573
2006,Rexdale-Kipling,1790,640,0,25,445,425,545,0,320860,1105,778
2006,Rockcliffe-Smythe,2740,3175,0,990,220,465,1175,0,307227,1124,735
2006,Roncesvalles,630,1590,10,995,360,545,2275,65,452349,1456,852
2006,Rosedale-Moore Park,2450,4790,0,445,245,330,1685,5,972039,1868,1332
2006,Rouge,7215,895,0,1040,1710,780,650,0,334448,1362,982
2006,Runnymede-Bloor West Village,1980,0,0,765,50,265,700,5,490697,1440,983
2006,Rustic,1135,1910,0,205,0,85,250,0,383158,1023,671
2006,Scarborough Village,1045,3645,0,35,190,140,355,0,293162,1212,756
2006,South Parkdale,185,6065,10,150,130,265,3135,15,397724,1652,785
2006,South Riverdale,835,515,0,2205,1180,370,4620,25,404427,1441,779
2006,St.Andrew-Windfields,3095,1740,0,165,560,105,645,0,888017,1881,1152
2006,Steeles,3635,2530,0,185,555,370,295,0,334206,1063,1048
2006,Stonegate-Queensway,5790,890,0,85,325,260,2705,5,489230,1258,904
2006,Tam O'Shanter-Sullivan,3065,4345,0,165,875,505,530,5,314574,1053,875
2006,Taylor-Massey,590,4515,0,170,235,150,290,0,212794,1101,800
2006,The Beaches,2580,460,0,1455,260,465,3885,5,592220,1708,1047
2006,Thistletown-Beaumond Heights,1560,645,0,310,55,300,275,0,334072,1175,805
2006,Thorncliffe Park,0,6070,0,0,325,0,15,0,226882,1263,957
2006,Trinity-Bellwoods,320,85,0,720,1000,175,4110,25,475039,1326,1025
2006,University,115,430,0,210,325,80,1375,5,549567,1383,1131
2006,Victoria Village,1230,3140,0,315,315,140,1955,5,312980,1143,787
2006,Waterfront Communities-The Island,255,14035,5,30,565,5,810,0,334960,1584,1286
2006,West Hill,3130,3350,0,415,1140,620,670,5,252998,1081,622
2006,West Humber-Clairville,3920,1250,0,190,1400,1720,485,0,305088,1186,858
2006,Westminster-Branson,810,7510,0,705,330,190,210,0,310480,1271,994
2006,Weston,1675,4060,0,185,110,265,710,10,273761,1172,793
2006,Weston-Pellam Park,535,515,0,1305,325,225,1380,20,312685,1165,652
2006,Wexford/Maryvale,5245,1740,5,10,230,1525,1110,15,309590,1053,820
2006,Willowdale East,3430,11945,25,60,615,300,1300,5,416893,1377,1318
2006,Willowdale West,2100,2545,0,145,85,370,210,0,414306,1324,1014
2006,Willowridge-Martingrove-Richview,3580,3220,0,520,255,235,35,0,412655,1104,1020
2006,Woburn,6290,9070,0,275,230,1615,580,10,265315,1091,762
2006,Woodbine Corridor,850,580,0,1500,215,180,1910,5,395861,1432,710
2006,Woodbine-Lumsden,1855,620,0,315,20,310,320,10,328788,1263,747
2006,Wychwood,945,1370,0,920,255,300,2100,5,503046,1394,844
2006,Yonge-Eglinton,1410,1525,0,460,25,320,1485,10,719711,1793,1131
2006,Yonge-St.Clair,540,3785,0,390,210,145,1465,0,722799,1638,1192
2006,York University Heights,1310,4980,0,1270,630,240,1075,45,271887,1079,827
2006,Yorkdale-Glen Park,2220,1445,0,70,470,435,740,5,382954,1085,831
2011,Agincourt North,3385,2130,5,820,1465,610,705,20,366667,1160,976
2011,Agincourt South-Malvern West,2855,1900,0,320,435,685,620,60,371534,1190,971
2011,Alderwood,2850,325,0,520,85,325,540,0,475742,1232,984
2011,Annex,670,7550,0,1215,635,450,4960,65,830450,1838,1237
2011,Banbury-Don Mills,3570,5800,0,285,725,45,1355,0,680433,1551,1213
2011,Bathurst Manor,2055,1945,0,145,55,800,1050,10,557627,1403,1015
2011,Bay Street Corridor,0,11070,0,0,30,0,300,0,470996,1523,1467
2011,Bayview Village,2140,3735,5,135,850,100,450,5,599520,1553,1441
2011,Bayview Woods-Steeles,1575,1705,0,490,200,115,625,0,628597,1358,1459
2011,Bedford Park-Nortown,4870,1960,0,40,65,335,1320,115,1034387,1988,1124
2011,Beechborough-Greenbrook,685,660,0,80,15,85,1135,5,412378,1118,749
2011,Bendale,3885,4195,0,280,300,1050,355,20,334773,1214,977
2011,Birchcliffe-Cliffside,4950,950,0,420,50,835,1950,35,486184,1347,849
2011,Black Creek,700,4455,0,665,1110,155,180,0,289990,1070,846
2011,Blake-Jones,505,500,0,825,375,175,780,20,568589,1533,778
2011,Briar Hill-Belgravia,1640,2420,0,160,70,385,1135,0,406371,1410,976
2011,Bridle Path-Sunnybrook-York Mills,2285,480,0,45,100,30,50,0,1697067,2387,2388
2011,Broadview North,865,3295,0,460,85,135,780,0,492919,1440,940
2011,Brookhaven-Amesbury,1830,3685,0,250,10,120,540,5,390160,1236,893
2011,Cabbagetown-South St.James Town,180,3595,0,450,645,185,1575,20,549326,1634,976
2011,Caledonia-Fairbank,1705,165,0,430,25,355,820,5,402135,1336,941
2011,Casa Loma,880,2630,0,245,220,140,1215,0,1090696,2001,1494
2011,Centennial Scarborough,3470,0,0,160,460,145,35,0,455664,1404,1128
2011,Church-Yonge Corridor,25,16455,5,30,215,65,1410,45,451500,1668,1134
2011,Clairlea-Birchmount,3190,1770,5,1020,845,655,1205,55,394176,1352,890
2011,Clanton Park,2425,1275,5,10,10,540,1255,20,613197,1535,938
2011,Cliffcrest,3460,1305,0,60,375,415,150,65,464068,1348,839
2011,Corso Italia-Davenport,1325,0,0,1315,105,435,1915,15,466857,1307,945
2011,Danforth,700,335,0,1255,30,220,1350,30,519123,1499,828
2011,Danforth-East York,2940,740,0,1720,40,555,955,10,468801,1374,923
2011,Don Valley Village,2230,5225,0,350,1490,140,305,0,442487,1299,1114
2011,Dorset Park,2185,3710,0,335,1420,455,420,5,291278,1230,921
2011,Dovercourt-Wallace Emerson-Juncti,1710,1390,0,2140,950,830,6870,35,483276,1320,963
2011,Downsview-Roding-CFB,4405,3420,0,900,520,355,3625,0,424038,1162,905
2011,Dufferin Grove,340,1315,0,555,90,170,2650,0,508723,1397,1021
2011,East End-Danforth,1800,2080,0,1990,530,485,2170,55,531476,1697,831
2011,Edenbridge-Humber Valley,2565,2170,0,95,120,45,1025,0,885132,1652,1127
2011,Eglinton East,1580,5150,0,75,505,575,190,5,299023,1180,874
2011,Elms-Old Rexdale,1000,1365,0,70,510,180,60,0,298328,1282,966
2011,Englemount-Lawrence,1970,2730,0,40,285,515,2585,0,632514,1480,904
2011,Eringate-Centennial-West Deane,3960,1790,0,350,600,115,65,5,442233,1245,1108
2011,Etobicoke West Mall,1000,2675,0,95,220,50,55,15,343988,1201,1078
2011,Flemingdon Park,0,6635,0,180,580,5,640,0,231020,1288,932
2011,Forest Hill North,1470,3350,0,15,25,105,365,0,946854,1904,1132
2011,Forest Hill South,1730,1825,0,65,45,75,1035,0,1329642,1959,1206
2011,Glenfield-Jane Heights,430,3355,0,3460,1380,360,1015,15,364206,1165,818
2011,Greenwood-Coxwell,1010,515,0,1475,355,325,2315,5,430308,1387,829
2011,Guildwood,2185,1085,0,105,305,170,95,5,410650,1259,1081
2011,Henry Farm,505,3020,0,0,535,15,40,0,411300,1447,1156
2011,High Park North,1425,6065,0,630,130,400,1980,5,592002,1563,1134
2011,High Park-Swansea,2695,2605,0,505,285,555,3225,10,648124,1618,1053
2011,Highland Creek,3155,0,5,10,20,550,45,0,476760,1352,909
2011,Hillcrest Village,1685,1980,0,840,1105,165,765,0,439166,1247,678
2011,Humber Heights-Westmount,1710,1825,0,60,60,170,75,0,499342,1272,1041
2011,Humber Summit,530,730,0,1885,80,90,495,0,391427,1194,907
2011,Humbermede,605,1595,0,1190,450,85,1200,0,355519,1226,966
2011,Humewood-Cedarvale,1880,1715,0,255,0,145,2575,5,774983,1758,974
2011,Ionview,1040,2790,0,370,155,355,260,100,319834,1200,863
2011,Islington-City Centre West,5175,9410,0,125,560,225,745,0,502160,1428,1072
2011,Junction Area,750,490,0,945,570,505,2475,10,481686,1496,1025
2011,Keelesdale-Eglinton West,1755,385,0,410,10,380,1045,0,358844,1230,796
2011,Kennedy Park,1825,2860,0,350,130,630,675,80,319331,1190,742
2011,Kensington-Chinatown,95,4115,0,235,735,170,3285,15,489709,1513,1004
2011,Kingsview Village-The Westway,2175,4665,0,125,310,170,210,5,376154,1175,1052
2011,Kingsway South,2350,695,0,70,50,25,335,0,937464,1787,1640
2011,L'Amoreaux,1300,670,0,550,170,85,370,5,722978,1637,814
2011,Lambton Baby Point,3755,6540,0,935,2465,375,830,5,374234,1209,919
2011,Lansing-Westgate,2365,2775,0,30,0,185,615,10,681742,1679,1332
2011,Lawrence Park North,3155,215,0,905,20,185,1015,5,844253,1922,1290
2011,Lawrence Park South,3465,855,0,115,25,230,980,10,1216283,2174,1230
2011,Leaside-Bennington,3625,525,0,805,75,55,1445,0,896593,1822,1158
2011,Little Portugal,250,780,0,470,625,170,2980,10,600558,1392,997
2011,Long Branch,1515,920,0,85,90,200,1695,5,428946,1439,922
2011,Malvern,3565,3190,0,1280,3560,1075,650,90,285586,1317,958
2011,Maple Leaf,1670,800,0,185,105,170,635,0,503876,1145,936
2011,Markland Wood,1795,2015,0,5,285,60,135,5,493588,1305,1112
2011,Milliken,3870,2110,0,555,630,475,105,10,383540,1161,934
